BELGRADE_cloud_cover,BELGRADE_global_radiation,BELGRADE_humidity,BELGRADE_precipitation,BELGRADE_pressure,BELGRADE_sunshine,BELGRADE_temp_max,BELGRADE_temp_mean,BELGRADE_temp_min
5,1.92,0.71,0.0,1.0093,7.0,17.8,11.3,6.0
6,1.37,0.71,0.48,1.0037,3.0,20.6,13.7,9.1
6,1.51,0.56,0.07,1.0043,3.8,19.9,14.5,11.0
5,2.08,0.69,0.16,1.0082,8.0,19.1,13.1,7.6
7,1.28,0.77,0.41,1.0101,2.3,14.9,11.9,9.7
5,2.21,0.68,0.55,1.0118,8.8,17.7,12.0,7.4
7,1.09,0.74,0.0,1.0144,1.3,11.7,8.4,7.7
7,0.63,0.64,0.0,1.0152,0.0,10.7,8.3,6.6
8,0.64,0.78,0.1,1.0156,0.0,10.3,7.7,4.2
7,0.73,0.61,0.0,1.0219,0.1,12.8,10.0,7.6
1,2.47,0.51,0.0,1.0253,10.4,14.0,9.0,4.3
3,2.44,0.56,0.0,1.025,10.0,14.0,8.7,4.9
0,2.52,0.47,0.0,1.0199,10.6,22.5,14.8,5.4
6,2.25,0.56,0.06,1.0161,8.2,21.0,15.7,11.0
8,1.68,0.75,0.19,1.0156,4.0,19.5,13.0,10.4
4,2.59,0.67,0.0,1.0162,10.8,18.5,13.9,8.2
3,2.56,0.52,0.0,1.0162,10.4,22.4,18.1,12.0
2,2.47,0.46,0.0,1.0233,9.5,21.0,16.3,12.5
1,2.56,0.5,0.0,1.0181,10.2,22.2,15.8,8.3
2,2.46,0.45,0.0,1.013,9.2,21.4,16.6,10.4
4,2.03,0.73,0.0,1.0105,5.9,17.8,12.4,9.6
8,1.94,0.71,0.0,1.0097,5.2,19.4,13.5,7.2
6,1.77,0.58,0.0,1.014,4.1,21.1,15.1,11.7
5,2.11,0.52,0.45,1.0127,6.2,21.3,15.4,11.5
6,1.97,0.66,0.0,1.0121,5.2,17.3,13.2,11.2
7,1.68,0.68,0.0,1.0144,3.4,17.2,13.0,10.4
4,2.2,0.72,0.5,1.0123,6.6,18.6,11.1,8.9
