MADRID_cloud_cover,MADRID_global_radiation,MADRID_humidity,MADRID_precipitation,MADRID_pressure,MADRID_sunshine,MADRID_temp_max,MADRID_temp_mean,MADRID_temp_min
5,2.15,0.62,0.21,1.0111,7.7,12.0,7.8,3.6
6,2.28,0.7,0.03,1.0144,8.5,12.9,8.7,4.5
4,2.22,0.56,0.0,1.018,8.0,12.0,8.0,4.0
4,2.63,0.49,0.0,1.0195,10.7,14.1,9.0,3.9
7,1.22,0.64,0.21,1.0147,2.1,15.6,9.8,4.0
7,1.35,0.75,0.0,1.0141,2.7,15.4,11.7,8.0
5,2.45,0.74,0.0,1.02,9.2,19.4,14.6,9.8
5,2.48,0.66,0.0,1.0179,9.3,20.5,14.4,8.3
7,2.17,0.55,0.0,1.0156,7.2,21.5,15.5,9.5
6,1.95,0.43,0.0,1.0118,5.8,21.2,15.7,10.2
3,2.74,0.49,0.0,1.0166,10.8,24.0,17.1,10.2
1,2.71,0.46,0.0,1.0174,10.5,25.0,17.7,10.4
1,2.81,0.52,0.0,1.0184,11.1,25.0,18.3,11.6
0,2.85,0.48,0.0,1.0178,11.3,22.0,15.0,8.0
4,2.76,0.36,0.0,1.0271,10.6,17.7,12.1,6.5
5,2.32,0.41,0.0,1.0252,7.7,21.5,14.1,6.7
4,2.62,0.57,0.0,1.0225,9.5,20.8,14.9,9.0
2,2.8,0.38,0.0,1.0211,10.6,18.9,12.9,6.9
3,3.12,0.4,0.0,1.017,12.7,20.5,14.0,7.5
0,3.13,0.38,0.0,1.0153,12.7,18.0,12.3,6.6
0,3.13,0.39,0.0,1.0179,12.6,16.1,9.3,2.5
2,2.83,0.43,0.0,1.0168,10.5,16.9,11.2,5.5
7,1.6,0.42,0.02,1.0179,3.3,12.2,7.7,3.2
4,2.99,0.47,0.05,1.0175,11.4,18.8,12.3,5.8
4,2.98,0.56,0.01,1.0169,11.3,19.6,13.5,7.4
2,2.66,0.51,0.0,1.0146,9.2,21.1,15.2,9.3
0,3.08,0.38,0.0,1.0137,11.8,22.0,15.9,9.8
0,3.2,0.38,0.0,1.0145,12.5,21.2,14.6,8.0
0,3.24,0.36,0.0,1.0148,12.7,22.0,15.5,9.0
6,2.97,0.4,0.0,1.0145,10.9,20.7,14.6,8.5
1,3.01,0.35,0.0,1.0151,11.1,20.2,14.5,8.8
0,3.25,0.23,0.0,1.0167,12.8,20.1,12.8,5.5
6,2.49,0.37,1.7,1.0099,7.8,19.8,13.4,7.0
