PCA1,y,V_answers
1.178639013945982,0,0
1.5959003563309453,0,0
1.2986044049355763,0,0
0.9689899431203075,0,0
1.6802073730713718,0,0
0.6279974449847417,0,0
1.8579271532223256,0,0
0.954257448113405,0,0
0.3910827638769215,0,0
1.975680230092365,0,0
3.6213245894820285,0,0
1.9187079025897744,0,0
0.5069763044406047,0,0
-0.14955314652178867,0,0
-0.15059237751457732,0,0
0.4108039267566331,0,0
-0.13308536869428728,0,0
1.6110335810626903,0,0
2.072593842159951,0,0
1.2022805460023376,0,0
0.2884752527792315,0,0
0.8292040097458734,0,0
0.5213802038602737,0,0
0.9645842777108277,0,0
-0.12551615160559712,0,0
1.5497069970678912,0,0
2.0144636918418146,0,0
2.4054343045570423,0,0
1.2643028199638948,0,0
0.974144128911101,0,0
1.7229512502466808,0,0
1.032764791673323,0,0
0.7888972290363239,0,0
1.740155346801037,0,0
1.18843561827706,0,0
1.334946031900157,0,0
2.1127356886076654,0,0
1.5617936188048855,0,0
0.14855730066436432,0,0
1.3562850889692317,0,0
0.37832619736709405,0,0
0.7625468328979671,0,0
0.8515197962665069,0,0
1.2856767995572498,0,0
1.3130166112735253,0,0
1.7010264757743627,0,0
1.387127966464799,0,0
1.6592957203109224,0,0
0.8046866761780666,0,0
-0.47136867914167596,0,0
1.9642163572475035,0,0
2.3066113393721235,0,0
1.6930549192497006,0,0
1.0366082079128163,0,0
1.4680904670113601,0,0
-0.3601207549739202,0,0
3.612019559841556,0,0
1.8035045986553175,0,0
1.1881064377427393,0,0
1.1835284803200798,0,0
-0.6340692900532882,0,0
2.097765286661099,0,0
-0.41789288429309934,0,0
-0.6644740403942939,0,0
1.3475457772478467,0,0
1.0000834929829312,0,0
1.160747719636415,0,0
0.7583498386797496,0,0
0.6027030464084216,0,0
-0.2670847632387339,0,0
-0.3412181542669153,0,0
-0.34676520983108833,0,0
-0.37314153827084423,0,0
-0.06480475181214237,0,0
0.8205224688009116,0,0
0.6374708401795526,0,0
0.6886017086072511,0,0
0.49726778400601057,0,0
0.1276805743061307,0,0
-0.4620556937059388,0,0
0.7630690047961971,0,0
0.6987135262086729,0,0
1.1913011849235011,0,0
1.49920283165048,0,0
0.22144852412171115,0,0
0.002101658116488652,0,0
-1.8536691849965263,0,0
-0.3622928795658044,0,0
-1.3619436470587063,0,0
-1.5041999234479808,0,0
1.4714444976174692,0,0
-0.532468352286846,0,0
1.366925145723601,0,0
-0.36739001995912174,0,0
-1.4849496476938766,0,0
-1.0323128437501594,0,0
-1.2657550192804334,0,0
-1.5039168369378728,0,0
-1.120553870201215,0,0
-2.1764375058292718,0,0
-0.2830540415138736,0,0
0.9227246759296714,0,0
1.1079615161124434,0,0
0.3183688320046255,0,0
-1.2274228353845955,0,0
1.78956273403144,0,0
-0.24306576978419675,0,0
0.5235990274091941,0,0
-1.3639951720416024,0,0
1.2247240786748563,0,0
-0.27459107735329696,0,0
-0.4809519596778251,0,0
0.2085635427047086,0,0
1.6251985517455207,0,0
-0.4823841001492485,0,0
1.388419662472111,0,0
1.7470765456357567,0,0
0.8709670374492464,0,0
-0.11655301787930852,0,0
-1.19231203928675,0,0
-1.1420061853878052,0,0
-1.945800886344102,0,1
-3.089287013009401,0,1
-3.0919058120534535,0,1
-1.5327015620439177,0,0
0.560116838596769,0,0
0.33144842588297524,0,0
-2.6710748915180584,0,0
-1.1528617984056833,0,0
-1.265218584506805,0,0
-3.979491852730569,0,1
-0.6482429558825787,0,0
0.5554975370980283,0,0
-0.4239502318917586,0,0
-1.3375790867694375,0,0
0.6142538164846657,0,0
0.8329335716443353,0,0
0.3081497654360818,0,0
-0.29910661947764333,0,0
0.425778836666303,0,0
-0.2709841401630328,0,0
-0.27990915530876215,0,0
1.5405176012603925,0,0
-1.592734381081892,0,0
-1.7241476037350785,0,0
-1.144942398629367,0,0
-0.8441923000337889,0,0
-0.45209401037930835,0,0
-1.9718749092978383,0,0
-0.7809278392374289,0,0
-2.5738708014612404,0,0
2.7983673720749103,0,0
0.5441164914896257,0,0
-0.11676724130372174,0,0
-0.06356331875934176,0,0
-2.2377349998631195,0,0
-1.7073314061959228,0,0
-2.515454560288624,0,0
2.905155618722636,0,0
-1.2567615127595901,0,0
-2.1212071843127123,0,0
-0.8762471841691554,0,0
0.2009878505706202,0,0
0.16566512424502597,0,0
-0.8670772501842269,0,0
0.013695989000611806,0,0
-1.732965431982508,0,0
-3.298554659635118,0,0
-0.7987428467971801,0,0
-2.962015310893831,0,1
-0.5143388008325612,0,0
1.5444148498649815,0,0
1.2783048461077569,0,0
-0.2744067779960015,0,0
-0.9877528050620267,0,0
-0.5091313067588235,0,0
-1.8355178348546095,0,0
-2.5022939778580997,0,1
-3.8415898263480015,0,1
-2.3157711328244264,0,1
-2.167975950327945,0,1
-0.014017373160038284,0,0
-1.1122875062428983,0,1
-0.3806264821867677,0,0
-0.7684134686395293,0,0
-2.594859506096265,0,1
-1.3551593206478731,0,0
-2.951929880684576,0,1
-2.1971424135961897,0,0
2.5277730415799424,0,0
-0.1404427291048591,0,0
-2.3136187357198135,0,0
-0.7749334133251238,0,0
-0.2701949403315387,0,0
-0.013845493098895897,0,0
0.6503465393394485,0,0
-1.1147989052590228,0,0
-0.9879377813484658,0,0
-0.7984170577084357,0,0
-2.3518895535608797,0,1
-3.482620452503393,0,1
-3.2365867115658578,0,1
-3.9352213794797652,0,1
-3.9917477490494453,0,1
-4.149261220844492,0,1
-1.2885430860924147,0,1
-2.5638480676127458,0,0
0.18281965895544225,0,0
-0.4813619887147634,0,0
-1.7359282072268516,0,0
-1.7805654048711843,0,0
0.5762865407830357,0,0
-0.5914279202080107,0,0
0.2670838926397823,0,0
-0.27662016181116256,0,0
-0.7838006672374231,0,0
0.22715345571531334,0,0
-0.0634619669550758,0,0
-0.30912712850843754,0,0
-0.684391658085661,0,0
0.6273728251959494,0,0
-0.16152482804295204,0,0
-1.3179310228738281,0,0
-0.21071914350647175,0,0
-1.8921025786680181,0,0
-0.08526557708996205,0,0
-1.4995519669507473,0,0
-2.404490142426074,0,0
-1.9307825280048467,0,0
-2.009422581682,0,0
-2.131083342077014,0,0
-2.579990899131249,0,0
-2.255571857716178,0,0
-0.8083470832333914,0,0
-1.3935696069745889,0,1
-3.4781526992347485,0,1
-3.9979689929285986,0,1
-0.1608996822939493,0,0
-1.0904849250603834,0,0
-1.3983326766604403,0,0
-1.1006710638810697,0,0
-1.4049348270428346,0,1
-1.217663704058797,0,0
-1.0051237603930616,0,0
-1.0515370766102472,0,0
-1.5334704888192097,0,1
-2.337463992347254,0,0
0.2685851069896799,0,0
-0.06786539724481438,0,0
-0.914989915953956,0,0
-0.03143815973059387,0,0
-0.7596259299945697,0,0
0.6445305324952078,0,0
